user_id,interests,skills,purchased,satisfaction
1,sports_music,python_sql,laptop_phone,high
2,music_tech,java_sql,phone_tablet,high
3,sports_tech,python_java,laptop_tablet,medium
4,music_art,r_python,phone_headphones,high
5,sports_art,sql_r,laptop_headphones,medium
6,tech_art,java_r,tablet_headphones,low
7,sports_music_tech,python_sql_java,laptop_phone_tablet,high
8,music_art_tech,r_python_sql,phone_headphones_tablet,medium
9,sports_music,python_java,laptop_phone,high
10,tech_art,sql_java,tablet_headphones,low
11,music_tech,python_r,phone_laptop,high
12,sports_art,java_sql,tablet_phone,medium
13,music_art,r_sql,headphones_laptop,medium
14,sports_tech,python_sql,laptop_tablet,high
15,tech_art,java_r,tablet_phone,low
16,sports_music,python_java_sql,laptop_phone_tablet,high
17,music_tech_art,r_python_java,phone_headphones_tablet,high
18,sports_tech,sql_java,laptop_tablet,medium
19,music_art,python_r,phone_headphones,medium
20,sports_music_tech,python_sql_r,laptop_phone,high
